bourbon_name
Blanton's Original Single Barrel
Blanton's Gold
Buffalo Trace
Four Roses Yellow Label
Four Roses Single Barrel
Maker's Mark 46
W.L Weller Special Reserve
Woodford Reserve Double Oaked
1792 Small Batch
Eagle Rare 10
Wild Turkey 101
Wild Turkey Rare Breed
Angel's Envy Bourbon
